Регион,Child_mortality_urban
Белгородская область,63.64
Брянская область,70.18
Владимирская область,84.77
Воронежская область,114.95
Ивановская область,66.41
Калужская область,61.5
Костромская область,44.41
Курская область,67.27
Липецкая область,53.05
Московская область,432.64
Орловская область,35.55
Рязанская область,65.32
Смоленская область,53.64
Тамбовская область,34.73
Тверская область,87.32
Тульская область,88.05
Ярославская область,70.68
Город Москва,783.36
Республика Карелия,37.18
Республика Коми,51.09
Ненецкий автономный округ,3.14
Архангельская область,72.41
Вологодская область,81.5
Калининградская область,58.91
Ленинградская область,60.82
Мурманская область,63.05
Новгородская область,34.95
Псковская область,40.18
Город Санкт-Петербург,252.36
Республика Адыгея,19.64
Республика Калмыкия,14.91
Республика Крым,74.0
Краснодарский край,210.82
Астраханская область,79.14
Волгоградская область,176.5
Ростовская область,260.55
Город Севастополь,64.64
Республика Дагестан,260.14
Республика Ингушетия,76.55
Кабардино-Балкарская Республика,47.32
Карачаево-Черкесская Республика,24.77
Республика Северная Осетия-Алания,48.77
Ставропольский край,159.36
Республика Башкортостан,244.55
Республика Марий Эл,35.41
Республика Мордовия,30.73
Республика Татарстан,229.45
Удмуртская Республика,98.05
Чувашская Республика,51.73
Пермский край,193.73
Кировская область,76.27
Нижегородская область,223.5
Оренбургская область,112.32
Пензенская область,67.27
Самарская область,173.77
Саратовская область,138.55
Ульяновская область,78.55
Курганская область,58.27
Свердловская область,308.36
Ханты-Мансийский автономный округ - Югра,107.05
Ямало-Ненецкий автономный округ,42.05
Тюменская область,76.86
Челябинская область,262.82
Республика Алтай,12.14
Республика Тыва,47.73
Республика Хакасия,44.18
Алтайский край,128.32
Красноярский край,224.59
Иркутская область,221.64
Кемеровская область,229.45
Новосибирская область,180.5
Омская область,114.09
Томская область,74.23
Республика Бурятия,67.95
Забайкальский край,96.09
Республика Саха (Якутия),80.32
Камчатский край,29.91
Приморский край,154.05
Хабаровский край,127.5
Амурская область,79.05
Магаданская область,15.5
Сахалинская область,40.41
Еврейская автономная область,20.55
Чукотский автономный округ,5.0
Чеченская Республика,72.41
