Регион,Disabled_61_
Алтайский край,849579.23
Амурская область,658029.14
Архангельская область,708535.82
Астраханская область,615049.18
Белгородская область,934390.86
Брянская область,733906.64
Владимирская область,780816.45
Волгоградская область,843968.91
Вологодская область,728563.73
Воронежская область,928332.91
Город Москва,2542835.77
Город Санкт-Петербург,1793624.68
Город Севастополь,584379.41
Еврейская автономная область,570977.18
Забайкальский край,676159.09
Ивановская область,693232.23
Иркутская область,869102.5
Кабардино-Балкарская Республика,623476.45
Калининградская область,673640.55
Калужская область,685463.5
Камчатский край,570934.0
Карачаево-Черкесская Республика,608323.86
Кемеровская область,909711.59
Кировская область,788519.86
Костромская область,655427.09
Краснодарский край,1260884.18
Красноярский край,826359.09
Курганская область,677039.55
Курская область,729834.09
Ленинградская область,806576.36
Липецкая область,756334.77
Магаданская область,556948.91
Московская область,1292398.09
Мурманская область,596229.36
Ненецкий автономный округ,555167.32
Нижегородская область,1102632.82
Новгородская область,656975.59
Новосибирская область,851296.14
Омская область,756332.27
Оренбургская область,899494.45
Орловская область,657175.55
Пензенская область,720777.86
Пермский край,919630.14
Приморский край,723624.0
Псковская область,630923.5
Республика Адыгея,601605.45
Республика Алтай,586044.27
Республика Башкортостан,990089.95
Республика Бурятия,661033.36
Республика Дагестан,769385.77
Республика Ингушетия,586875.23
Республика Калмыкия,579085.05
Республика Карелия,670008.23
Республика Коми,648531.86
Республика Крым,725214.36
Республика Марий Эл,660402.27
Республика Мордовия,668641.0
Республика Саха (Якутия),615734.5
Республика Северная Осетия-Алания,648055.91
Республика Татарстан,1020361.5
Республика Тыва,568439.0
Республика Хакасия,592793.86
Ростовская область,1056028.27
Рязанская область,795192.0
Самарская область,900128.36
Саратовская область,770487.18
Сахалинская область,582619.45
Свердловская область,1006659.73
Смоленская область,676430.82
Ставропольский край,876811.05
Тамбовская область,745102.05
Тверская область,719803.14
Томская область,644873.73
Тульская область,801581.95
Тюменская область,707310.77
Удмуртская Республика,723931.68
Ульяновская область,740337.68
Хабаровский край,658113.64
Ханты-Мансийский автономный округ - Югра,614312.91
Челябинская область,930983.05
Чеченская Республика,620396.27
Чувашская Республика,681043.32
Чукотский автономный округ,551904.77
Ямало-Ненецкий автономный округ,566601.73
Ярославская область,748178.5
