Регион,Morbidity_onko
Алтайский край,2592.75
Амурская область,2584.06
Архангельская область,2585.9300000000003
Астраханская область,2584.38
Белгородская область,2589.46
Брянская область,2595.53
Владимирская область,2588.23
Волгоградская область,2589.84
Вологодская область,2580.91
Воронежская область,2617.92
Город Москва,2578.3
Город Санкт-Петербург,2583.11
Город Севастополь,2585.9300000000003
Еврейская автономная область,2614.85
Забайкальский край,2576.66
Ивановская область,2593.44
Иркутская область,2582.97
Кабардино-Балкарская Республика,2577.68
Калининградская область,2580.42
Калужская область,2582.6
Камчатский край,2586.07
Карачаево-Черкесская Республика,2594.74
Кемеровская область,2585.1
Кировская область,2589.08
Костромская область,2585.76
Краснодарский край,2588.14
Красноярский край,2579.04
Курганская область,2580.74
Курская область,2587.11
Ленинградская область,2580.68
Липецкая область,2587.94
Магаданская область,2583.68
Московская область,2585.17
Мурманская область,2589.53
Ненецкий автономный округ,2575.69
Нижегородская область,2590.34
Новгородская область,2597.6
Новосибирская область,2591.07
Омская область,2591.51
Оренбургская область,2590.24
Орловская область,2596.36
Пензенская область,2592.68
Пермский край,2583.95
Приморский край,2585.41
Псковская область,2593.79
Республика Адыгея,2585.9300000000003
Республика Алтай,2576.36
Республика Башкортостан,2579.21
Республика Бурятия,2577.39
Республика Дагестан,2565.64
Республика Ингушетия,2573.65
Республика Калмыкия,2573.97
Республика Карелия,2592.6
Республика Коми,2581.65
Республика Крым,2585.9300000000003
Республика Марий Эл,2579.36
Республика Мордовия,2589.01
Республика Саха (Якутия),2574.76
Республика Северная Осетия-Алания,2580.68
Республика Татарстан,2586.99
Республика Тыва,2566.0
Республика Хакасия,2586.15
Ростовская область,2588.5
Рязанская область,2596.77
Самарская область,2593.9
Саратовская область,2585.79
Сахалинская область,2596.76
Свердловская область,2586.14
Смоленская область,2586.5
Ставропольский край,2582.63
Тамбовская область,2588.96
Тверская область,2590.25
Томская область,2589.64
Тульская область,2594.16
Тюменская область,2585.9300000000003
Удмуртская Республика,2581.33
Ульяновская область,2591.19
Хабаровский край,2584.94
Ханты-Мансийский автономный округ - Югра,2573.85
Челябинская область,2586.46
Чеченская Республика,2564.55
Чувашская Республика,2580.73
Чукотский автономный округ,2578.72
Ямало-Ненецкий автономный округ,2574.06
Ярославская область,2592.03
