Регион,Morbidity_total
Алтайский край,56336.62
Амурская область,41204.68
Архангельская область,19127.44
Астраханская область,48923.990000000005
Белгородская область,41564.62
Брянская область,43703.95
Владимирская область,50096.0
Волгоградская область,48317.08
Вологодская область,46707.29
Воронежская область,29806.02
Город Москва,38462.61
Город Санкт-Петербург,47413.31
Город Севастополь,10939.61
Еврейская автономная область,36160.83
Забайкальский край,37505.33
Ивановская область,48225.12
Иркутская область,48541.6
Кабардино-Балкарская Республика,30333.07
Калининградская область,41988.48
Калужская область,40337.32
Камчатский край,44679.66
Карачаево-Черкесская Республика,39546.47
Кемеровская область,44490.11
Кировская область,41381.17
Костромская область,40522.48
Краснодарский край,42823.3
Красноярский край,43253.57
Курганская область,46579.18
Курская область,32008.34
Ленинградская область,31081.42
Липецкая область,38121.82
Магаданская область,42922.03
Московская область,36384.26
Мурманская область,45301.55
Ненецкий автономный округ,89233.69
Нижегородская область,45300.85
Новгородская область,47742.58
Новосибирская область,39884.01
Омская область,46980.78
Оренбургская область,45251.83
Орловская область,47903.12
Пензенская область,42268.77
Пермский край,50535.9
Приморский край,41288.5
Псковская область,36424.72
Республика Адыгея,13357.36
Республика Алтай,47124.11
Республика Башкортостан,46890.36
Республика Бурятия,34884.22
Республика Дагестан,56744.100000000006
Республика Ингушетия,48379.78
Республика Калмыкия,48491.3
Республика Карелия,56545.45
Республика Коми,54104.96
Республика Крым,11082.44
Республика Марий Эл,46000.3
Республика Мордовия,38275.01
Республика Саха (Якутия),54237.92
Республика Северная Осетия-Алания,33396.7
Республика Татарстан,44811.39
Республика Тыва,33731.95
Республика Хакасия,44389.54
Ростовская область,55632.26
Рязанская область,37149.47
Самарская область,51631.23
Саратовская область,39519.71
Сахалинская область,46865.69
Свердловская область,39628.85
Смоленская область,41186.91
Ставропольский край,39456.65
Тамбовская область,37976.85
Тверская область,45424.94
Томская область,38877.09
Тульская область,39375.25
Тюменская область,13005.21
Удмуртская Республика,49953.68
Ульяновская область,48902.78
Хабаровский край,38427.82
Ханты-Мансийский автономный округ - Югра,48932.11
Челябинская область,45573.26
Чеченская Республика,35140.399999999994
Чувашская Республика,52391.01
Чукотский автономный округ,63916.76
Ямало-Ненецкий автономный округ,61160.98
Ярославская область,49311.7
