Регион,Poverty_percent
Алтайский край,24.25
Амурская область,24.29
Архангельская область,18.82
Астраханская область,17.65
Белгородская область,13.47
Брянская область,18.6
Владимирская область,21.38
Волгоградская область,16.45
Вологодская область,16.46
Воронежская область,18.22
Город Москва,12.05
Город Санкт-Петербург,11.44
Город Севастополь,18.12
Еврейская автономная область,26.86
Забайкальский край,26.11
Ивановская область,28.82
Иркутская область,21.5
Кабардино-Балкарская Республика,24.42
Калининградская область,18.15
Калужская область,17.04
Камчатский край,18.05
Карачаево-Черкесская Республика,26.21
Кемеровская область,15.05
Кировская область,20.78
Костромская область,19.84
Краснодарский край,18.7
Красноярский край,18.92
Курганская область,24.81
Курская область,16.55
Ленинградская область,18.45
Липецкая область,13.3
Магаданская область,15.39
Московская область,13.82
Мурманская область,14.93
Ненецкий автономный округ,11.3
Нижегородская область,14.88
Новгородская область,18.76
Новосибирская область,21.38
Омская область,16.92
Оренбургская область,19.06
Орловская область,19.1
Пензенская область,20.8
Пермский край,15.93
Приморский край,23.34
Псковская область,19.69
Республика Адыгея,21.63
Республика Алтай,29.44
Республика Башкортостан,15.01
Республика Бурятия,25.64
Республика Дагестан,22.5
Республика Ингушетия,40.97
Республика Калмыкия,38.44
Республика Карелия,16.35
Республика Коми,16.24
Республика Крым,20.23
Республика Марий Эл,30.03
Республика Мордовия,25.12
Республика Саха (Якутия),19.56
Республика Северная Осетия-Алания,17.52
Республика Татарстан,11.78
Республика Тыва,38.39
Республика Хакасия,22.3
Ростовская область,17.39
Рязанская область,19.24
Самарская область,16.86
Саратовская область,21.29
Сахалинская область,15.64
Свердловская область,13.02
Смоленская область,18.42
Ставропольский край,21.38
Тамбовская область,15.8
Тверская область,19.11
Томская область,16.75
Тульская область,14.45
Тюменская область,18.71
Удмуртская Республика,17.91
Ульяновская область,22.03
Хабаровский край,17.84
Ханты-Мансийский автономный округ - Югра,9.86
Челябинская область,15.75
Чеченская Республика,13.2
Чувашская Республика,23.28
Чукотский автономный округ,14.71
Ямало-Ненецкий автономный округ,7.4
Ярославская область,14.73
