Регион,Welfare
Белгородская область,15.98
Брянская область,18.51
Владимирская область,18.15
Воронежская область,17.34
Ивановская область,19.06
Калужская область,16.85
Костромская область,17.36
Курская область,17.91
Липецкая область,17.63
Московская область,17.14
Орловская область,18.44
Рязанская область,17.54
Смоленская область,18.36
Тамбовская область,17.66
Тверская область,17.7
Тульская область,18.26
Ярославская область,17.82
Город Москва,16.75
Республика Карелия,18.74
Республика Коми,17.71
Архангельская область,17.77
Вологодская область,18.8
Калининградская область,14.81
Ленинградская область,16.51
Мурманская область,17.97
Новгородская область,18.15
Псковская область,17.93
Город Санкт-Петербург,16.4
Ненецкий автономный округ,16.2
Республика Адыгея,17.45
Республика Калмыкия,18.05
Республика Крым,15.68
Краснодарский край,17.9
Астраханская область,18.96
Волгоградская область,18.6
Ростовская область,18.66
Город Севастополь,15.6
Республика Дагестан,19.0
Республика Ингушетия,19.15
Кабардино-Балкарская Республика,18.37
Карачаево-Черкесская Республика,17.8
Республика Северная Осетия-Алания,17.95
Чеченская Республика,19.56
Ставропольский край,19.12
Республика Башкортостан,17.25
Республика Марий Эл,17.76
Республика Мордовия,17.12
Республика Татарстан,15.4
Удмуртская Республика,17.35
Чувашская Республика,18.25
Пермский край,17.98
Кировская область,18.5
Нижегородская область,17.91
Оренбургская область,18.93
Пензенская область,17.84
Самарская область,18.15
Саратовская область,18.96
Ульяновская область,18.75
Курганская область,18.57
Свердловская область,17.88
Тюменская область,17.22
Челябинская область,18.03
Ханты-Мансийский автономный округ - Югра,16.16
Ямало-Ненецкий автономный округ,15.69
Республика Алтай,16.82
Республика Тыва,17.68
Республика Хакасия,17.62
Алтайский край,19.29
Красноярский край,17.67
Иркутская область,18.38
Кемеровская область,17.99
Новосибирская область,17.96
Омская область,19.25
Томская область,17.64
Республика Бурятия,17.79
Республика Саха (Якутия),16.01
Забайкальский край,18.38
Камчатский край,15.91
Приморский край,18.03
Хабаровский край,17.86
Амурская область,18.61
Магаданская область,15.3
Сахалинская область,15.65
Еврейская автономная область,18.89
Чукотский автономный округ,13.9
