Регион,Socdem_deti
Белгородская область,31.87
Брянская область,41.38
Владимирская область,39.45
Воронежская область,36.22
Ивановская область,37.8
Калужская область,38.17
Костромская область,42.4
Курская область,38.1
Липецкая область,39.45
Московская область,45.05
Орловская область,38.83
Рязанская область,34.6
Смоленская область,34.72
Тамбовская область,34.85
Тверская область,37.47
Тульская область,39.92
Ярославская область,36.33
Город Москва,39.65
Республика Карелия,38.72
Республика Коми,38.15
Ненецкий автономный округ,46.47
Архангельская область,34.0
Вологодская область,39.33
Калининградская область,34.15
Ленинградская область,22.45
Мурманская область,40.35
Новгородская область,33.32
Псковская область,34.95
Город Санкт-Петербург,22.9
Республика Адыгея,40.08
Республика Калмыкия,27.02
Республика Крым,43.88
Краснодарский край,40.88
Астраханская область,40.17
Волгоградская область,39.42
Ростовская область,40.38
Город Севастополь,40.92
Республика Дагестан,39.9
Республика Ингушетия,39.8
Кабардино-Балкарская Республика,35.33
Карачаево-Черкесская Республика,34.93
Республика Северная Осетия-Алания,34.7
Чеченская Республика,46.02
Ставропольский край,39.1
Республика Башкортостан,40.1
Республика Марий Эл,35.42
Республика Мордовия,34.85
Республика Татарстан,41.0
Удмуртская Республика,42.98
Чувашская Республика,32.9
Пермский край,40.52
Кировская область,38.08
Нижегородская область,35.6
Оренбургская область,42.85
Пензенская область,37.3
Самарская область,39.62
Саратовская область,39.42
Ульяновская область,35.58
Курганская область,39.52
Свердловская область,42.82
Ханты-Мансийский автономный округ - Югра,46.72
Ямало-Ненецкий автономный округ,47.7
Тюменская область,46.58
Челябинская область,42.22
Республика Алтай,45.38
Республика Тыва,45.68
Республика Хакасия,39.6
Алтайский край,37.55
Красноярский край,38.88
Иркутская область,39.47
Кемеровская область,42.03
Новосибирская область,36.33
Омская область,41.65
Томская область,40.22
Республика Бурятия,43.5
Забайкальский край,37.3
Республика Саха (Якутия),45.2
Камчатский край,41.55
Приморский край,41.55
Хабаровский край,37.52
Амурская область,38.2
Магаданская область,37.0
Сахалинская область,38.38
Еврейская автономная область,34.12
Чукотский автономный округ,34.3
