Регион,Socdem_pens
Белгородская область,7.35
Брянская область,3.88
Владимирская область,6.6
Воронежская область,5.4
Ивановская область,7.52
Калужская область,9.15
Костромская область,5.43
Курская область,7.02
Липецкая область,5.7
Московская область,7.65
Орловская область,6.72
Рязанская область,7.08
Смоленская область,10.2
Тамбовская область,5.55
Тверская область,7.38
Тульская область,3.6
Ярославская область,5.28
Город Москва,9.77
Республика Карелия,5.62
Республика Коми,7.28
Ненецкий автономный округ,3.3
Архангельская область,7.45
Вологодская область,5.58
Калининградская область,9.4
Ленинградская область,7.02
Мурманская область,3.82
Новгородская область,7.25
Псковская область,7.08
Город Санкт-Петербург,3.62
Республика Адыгея,9.6
Республика Калмыкия,1.95
Республика Крым,5.25
Краснодарский край,8.02
Астраханская область,4.9
Волгоградская область,6.22
Ростовская область,4.93
Город Севастополь,4.9
Республика Дагестан,6.52
Республика Ингушетия,9.25
Кабардино-Балкарская Республика,10.98
Карачаево-Черкесская Республика,9.2
Республика Северная Осетия-Алания,9.4
Чеченская Республика,6.65
Ставропольский край,4.47
Республика Башкортостан,5.5
Республика Марий Эл,4.95
Республика Мордовия,6.8
Республика Татарстан,8.52
Удмуртская Республика,6.28
Чувашская Республика,5.7
Пермский край,5.18
Кировская область,5.05
Нижегородская область,7.5
Оренбургская область,5.25
Пензенская область,9.5
Самарская область,5.88
Саратовская область,5.6
Ульяновская область,4.9
Курганская область,4.02
Свердловская область,4.7
Ханты-Мансийский автономный округ - Югра,5.05
Ямало-Ненецкий автономный округ,1.05
Тюменская область,4.43
Челябинская область,3.25
Республика Алтай,3.9
Республика Тыва,4.4
Республика Хакасия,4.6
Алтайский край,6.15
Красноярский край,5.6
Иркутская область,6.08
Кемеровская область,5.03
Новосибирская область,7.02
Омская область,5.55
Томская область,4.5
Республика Бурятия,4.95
Забайкальский край,7.85
Республика Саха (Якутия),5.43
Камчатский край,3.0
Приморский край,5.55
Хабаровский край,8.02
Амурская область,5.62
Магаданская область,7.75
Сахалинская область,6.87
Еврейская автономная область,9.65
Чукотский автономный округ,1.85
