Регион,Socdem_trud
Белгородская область,51.83
Брянская область,55.34
Владимирская область,55.13
Воронежская область,56.0
Ивановская область,55.26
Калужская область,54.9
Костромская область,54.86
Курская область,55.35
Липецкая область,55.35
Московская область,53.97
Орловская область,55.27
Рязанская область,55.99
Смоленская область,55.39
Тамбовская область,56.21
Тверская область,55.4
Тульская область,55.65
Ярославская область,56.0
Город Москва,54.58
Республика Карелия,55.5
Республика Коми,55.3
Ненецкий автономный округ,54.45
Архангельская область,56.02
Вологодская область,55.39
Калининградская область,55.64
Ленинградская область,53.6
Мурманская область,55.51
Новгородская область,56.18
Псковская область,55.91
Город Санкт-Петербург,54.14
Республика Адыгея,54.53
Республика Калмыкия,53.75
Республика Крым,54.63
Краснодарский край,54.67
Астраханская область,55.36
Волгоградская область,55.25
Ростовская область,55.32
Город Севастополь,55.16
Республика Дагестан,55.11
Республика Ингушетия,54.64
Кабардино-Балкарская Республика,55.15
Карачаево-Черкесская Республика,55.54
Республика Северная Осетия-Алания,55.55
Чеченская Республика,53.98
Ставропольский край,55.63
Республика Башкортостан,55.27
Республика Марий Эл,56.22
Республика Мордовия,55.94
Республика Татарстан,54.55
Удмуртская Республика,54.61
Чувашская Республика,56.55
Пермский край,55.25
Кировская область,55.71
Нижегородская область,55.73
Оренбургская область,54.81
Пензенская область,55.06
Самарская область,55.29
Саратовская область,55.38
Ульяновская область,56.2
Курганская область,55.65
Свердловская область,54.91
Ханты-Мансийский автономный округ - Югра,54.14
Ямало-Ненецкий автономный округ,54.69
Тюменская область,54.29
Челябинская область,55.3
Республика Алтай,54.6
Республика Тыва,54.45
Республика Хакасия,55.52
Алтайский край,55.61
Красноярский край,55.47
Иркутская область,55.27
Кемеровская область,55.01
Новосибирская область,55.67
Омская область,54.98
Томская область,55.43
Республика Бурятия,54.75
Забайкальский край,55.35
Республика Саха (Якутия),54.35
Камчатский край,55.46
Приморский край,55.0
Хабаровский край,55.28
Амурская область,55.59
Магаданская область,55.37
Сахалинская область,55.27
Еврейская автономная область,55.6
Чукотский автономный округ,52.39
