Регион,Population
Белгородская область,1530937.32
Брянская область,1276076.05
Владимирская область,1437729.27
Воронежская область,2343823.5
Ивановская область,1064732.36
Калужская область,1018175.55
Костромская область,675084.41
Курская область,1148943.5
Липецкая область,1172690.0
Московская область,7091254.36
Орловская область,789403.77
Рязанская область,1159706.82
Смоленская область,988614.95
Тамбовская область,1090226.77
Тверская область,1357124.86
Тульская область,1558885.5
Ярославская область,1292369.95
Город Москва,11619036.59
Республика Карелия,653218.32
Республика Коми,907747.68
Ненецкий автономный округ,42696.45
Архангельская область,1175781.27
Вологодская область,1208531.55
Калининградская область,965103.23
Ленинградская область,1750159.36
Мурманская область,802375.5
Новгородская область,639126.32
Псковская область,682433.41
Город Санкт-Петербург,4994190.86
Республика Адыгея,447977.0
Республика Калмыкия,285271.68
Республика Крым,1472090.68
Краснодарский край,5343319.36
Астраханская область,1009152.18
Волгоградская область,2591851.68
Ростовская область,4282050.41
Город Севастополь,942714.64
Республика Дагестан,2869845.91
Республика Ингушетия,454390.77
Кабардино-Балкарская Республика,868742.91
Карачаево-Черкесская Республика,462010.05
Республика Северная Осетия-Алания,705058.27
Чеченская Республика,1283413.45
Ставропольский край,2773840.32
Республика Башкортостан,4065846.32
Республика Марий Эл,699151.18
Республика Мордовия,834305.77
Республика Татарстан,3821518.0
Удмуртская Республика,1529291.45
Чувашская Республика,1256656.36
Пермский край,2674796.41
Кировская область,1358026.77
Нижегородская область,3334231.55
Оренбургская область,2044345.82
Пензенская область,1379740.09
Самарская область,3211413.41
Саратовская область,2530551.73
Ульяновская область,1296705.14
Курганская область,911180.41
Свердловская область,4351359.14
Ханты-Мансийский автономный округ - Югра,1552571.45
Ямало-Ненецкий автономный округ,528274.77
Тюменская область,1385372.27
Челябинская область,3507793.45
Республика Алтай,209680.64
Республика Тыва,312331.27
Республика Хакасия,536338.86
Алтайский край,2435528.45
Красноярский край,2876578.95
Иркутская область,2456143.41
Кемеровская область,2762491.68
Новосибирская область,2715050.18
Омская область,1990980.77
Томская область,1054877.68
Республика Бурятия,977165.27
Забайкальский край,1103461.55
Республика Саха (Якутия),960358.55
Камчатский край,328276.68
Приморский край,1967523.45
Хабаровский край,1358351.68
Амурская область,834484.77
Магаданская область,158735.5
Сахалинская область,506876.91
Еврейская автономная область,174013.91
Чукотский автономный округ,51510.36
