Регион,GRP
Белгородская область,296532.88
Брянская область,159780.83
Владимирская область,188789.51
Воронежская область,211082.92
Ивановская область,131491.97
Калужская область,242196.26
Костромская область,172583.59
Курская область,212272.59
Липецкая область,264946.89
Московская область,308696.11
Орловская область,183550.51
Рязанская область,199314.9
Смоленская область,189584.82
Тамбовская область,183498.42
Тверская область,193550.82
Тульская область,214493.08
Ярославская область,240969.7
Город Москва,771589.26
Республика Карелия,247449.18
Республика Коми,418921.62
Ненецкий автономный округ,2439921.05
Архангельская область,194131.47
Вологодская область,276481.36
Калининградская область,251598.53
Ленинградская область,318878.89
Мурманская область,371413.6
Новгородская область,241465.87
Псковская область,159053.14
Город Санкт-Петербург,421542.81
Республика Адыгея,141412.08
Республика Калмыкия,145648.68
Республика Крым,83488.91
Краснодарский край,235808.61
Астраханская область,231338.15
Волгоградская область,202620.32
Ростовская область,192274.56
Город Севастополь,90104.0
Республика Дагестан,127962.83
Республика Ингушетия,85174.95
Кабардино-Балкарская Республика,116135.01
Карачаево-Черкесская Республика,115955.78
Республика Северная Осетия-Алания,135904.27
Чеченская Республика,88879.9
Ставропольский край,155469.92
Республика Башкортостан,230021.06
Республика Марий Эл,155698.9
Республика Мордовия,165862.43
Республика Татарстан,330548.25
Удмуртская Республика,229485.04
Чувашская Республика,154071.15
Пермский край,282987.5
Кировская область,157125.08
Нижегородская область,240533.71
Оренбургская область,270771.92
Пензенская область,168953.62
Самарская область,269489.11
Саратовская область,178970.66
Ульяновская область,175929.4
Курганская область,154689.75
Свердловская область,290593.97
Ханты-Мансийский автономный округ - Югра,941512.17
Ямало-Ненецкий автономный округ,1736090.29
Тюменская область,325075.82
Челябинская область,233461.96
Республика Алтай,142047.45
Республика Тыва,125327.31
Республика Хакасия,228057.3
Алтайский край,149372.69
Красноярский край,400252.05
Иркутская область,287199.5
Кемеровская область,232071.69
Новосибирская область,241567.17
Омская область,221601.39
Томская область,304223.27
Республика Бурятия,162119.78
Забайкальский край,179869.84
Республика Саха (Якутия),520123.63
Камчатский край,384720.18
Приморский край,261893.01
Хабаровский край,300749.94
Амурская область,240725.12
Магаданская область,569694.61
Сахалинская область,994402.75
Еврейская автономная область,197632.16
Чукотский автономный округ,836910.67
