Регион,Reg_prod_manufactor
Алтайский край,254365210.42
Амурская область,27412296.96
Архангельская область,271351808.41
Астраханская область,55470177.45
Белгородская область,521213394.48
Брянская область,162419122.82
Владимирская область,344864313.54
Волгоградская область,618990334.14
Вологодская область,514658728.73
Воронежская область,348861648.08
Город Москва,4753555425.81
Город Санкт-Петербург,1951831590.0
Город Севастополь,11930451.44
Еврейская автономная область,4978295.51
Забайкальский край,20825951.09
Ивановская область,114110423.7
Иркутская область,399339414.46
Кабардино-Балкарская Республика,27859624.12
Калининградская область,406917510.64
Калужская область,551870616.59
Камчатский край,78668007.14
Карачаево-Черкесская Республика,25158562.81
Кемеровская область,477732589.93
Кировская область,174089151.16
Костромская область,103888073.04
Краснодарский край,694710192.54
Красноярский край,988490190.77
Курганская область,85604251.31
Курская область,143663528.68
Ленинградская область,755268781.78
Липецкая область,525390437.42
Магаданская область,47356788.62
Московская область,2048317668.35
Мурманская область,219445492.2
Ненецкий автономный округ,6934332.19
Нижегородская область,1068382045.4
Новгородская область,156260812.52
Новосибирская область,386295421.6
Омская область,689063955.44
Оренбургская область,251373057.06
Орловская область,90674817.17
Пензенская область,160606006.72
Пермский край,845206441.55
Приморский край,184160829.27
Псковская область,81745838.55
Республика Адыгея,36092263.32
Республика Алтай,3181117.6
Республика Башкортостан,954765509.7
Республика Бурятия,59762552.86
Республика Дагестан,32776044.28
Республика Ингушетия,1846800.19
Республика Калмыкия,845651.55
Республика Карелия,84675959.16
Республика Коми,155029590.06
Республика Крым,72303511.29
Республика Марий Эл,112827803.54
Республика Мордовия,144801454.27
Республика Саха (Якутия),29956571.68
Республика Северная Осетия-Алания,18925403.73
Республика Татарстан,1334287688.72
Республика Тыва,583659.33
Республика Хакасия,75792562.15
Ростовская область,628492669.62
Рязанская область,229025739.72
Самарская область,862218206.46
Саратовская область,299340858.8
Сахалинская область,43741040.26
Свердловская область,1493652474.1
Смоленская область,159903673.34
Ставропольский край,218563875.56
Тамбовская область,117535005.42
Тверская область,224073108.46
Томская область,144501511.41
Тульская область,518731086.55
Тюменская область,973572775.85
Удмуртская Республика,262623964.32
Ульяновская область,206335244.88
Хабаровский край,216055165.02
Ханты-Мансийский автономный округ - Югра,412552742.58
Челябинская область,1127876223.2
Чеченская Республика,7495875.74
Чувашская Республика,158038040.12
Чукотский автономный округ,20657431.77
Ямало-Ненецкий автономный округ,242191925.74
Ярославская область,289165745.99
