Регион,Reg_prod_total
Алтайский край,503119821.9
Амурская область,200212561.39
Архангельская область,509357683.44
Астраханская область,448664923.44
Белгородская область,1115342774.8
Брянская область,309754960.41
Владимирская область,644476858.26
Волгоградская область,1210650939.86
Вологодская область,916278994.08
Воронежская область,744372582.31
Город Москва,11073853271.37
Город Санкт-Петербург,3587516978.88
Город Севастополь,33320316.38
Еврейская автономная область,27048151.26
Забайкальский край,222698594.26
Ивановская область,240392889.42
Иркутская область,1452436652.44
Кабардино-Балкарская Республика,58600810.81
Калининградская область,765656950.41
Калужская область,1006658324.32
Камчатский край,199102383.96
Карачаево-Черкесская Республика,56719917.65
Кемеровская область,2063695522.04
Кировская область,352815456.28
Костромская область,225744580.52
Краснодарский край,1419393687.4
Красноярский край,2704519029.72
Курганская область,178257060.12
Курская область,441120044.07
Ленинградская область,1504009792.2
Липецкая область,932130742.87
Магаданская область,213206531.04
Московская область,3928927131.78
Мурманская область,655838338.05
Ненецкий автономный округ,397741339.73
Нижегородская область,1930379869.06
Новгородская область,286688896.94
Новосибирская область,840699992.97
Омская область,1223084586.17
Оренбургская область,1155691762.12
Орловская область,172569219.16
Пензенская область,308484095.68
Пермский край,1989614107.45
Приморский край,436428804.78
Псковская область,161076756.35
Республика Адыгея,70915279.72
Республика Алтай,11772250.22
Республика Башкортостан,2084473913.24
Республика Бурятия,175445971.18
Республика Дагестан,88673195.1
Республика Ингушетия,6804462.22
Республика Калмыкия,6992547.88
Республика Карелия,283916228.48
Республика Коми,770721048.99
Республика Крым,193956605.9
Республика Марий Эл,212263529.38
Республика Мордовия,266808394.02
Республика Саха (Якутия),1057978932.61
Республика Северная Осетия-Алания,43768447.33
Республика Татарстан,3269669860.88
Республика Тыва,31868393.05
Республика Хакасия,267082783.92
Ростовская область,1322816980.44
Рязанская область,447521744.29
Самарская область,2007810309.93
Саратовская область,690822187.72
Сахалинская область,1148747626.34
Свердловская область,2964599402.28
Смоленская область,352562191.71
Ставропольский край,494173192.83
Тамбовская область,225048611.76
Тверская область,515595956.76
Томская область,525877518.56
Тульская область,974466682.76
Тюменская область,1786791450.68
Удмуртская Республика,779627041.56
Ульяновская область,405387703.26
Хабаровский край,537919740.2
Ханты-Мансийский автономный округ - Югра,5393585699.04
Челябинская область,2158960613.29
Чеченская Республика,44971576.67
Чувашская Республика,302748079.6
Чукотский автономный округ,115641100.84
Ямало-Ненецкий автономный округ,3257201830.56
Ярославская область,552575658.74
