Регион,Сrimes_drug
Белгородская область,3587.91
Брянская область,3816.09
Владимирская область,3938.05
Воронежская область,4231.77
Ивановская область,3615.36
Калужская область,3612.95
Костромская область,3477.41
Курская область,3728.23
Город Москва,5092.82
Московская область,6025.14
Липецкая область,3568.59
Орловская область,3316.59
Рязанская область,3482.41
Смоленская область,3650.5
Тамбовская область,3661.36
Тверская область,3822.5
Тульская область,3619.45
Ярославская область,3736.86
Архангельская область,4139.32
Ненецкий автономный округ,3001.41
Город Санкт-Петербург,4300.55
Ленинградская область,3744.68
Вологодская область,4265.05
Калининградская область,3528.91
Мурманская область,3477.41
Новгородская область,3506.68
Псковская область,3435.73
Республика Карелия,3636.64
Республика Коми,4226.77
Кабардино-Балкарская Республика,3127.59
Карачаево-Черкесская Республика,3139.23
Республика Дагестан,3178.14
Республика Ингушетия,2983.45
Республика Северная Осетия-Алания,3439.36
Ставропольский край,3860.14
Чеченская Республика,2982.64
Астраханская область,3684.45
Волгоградская область,4671.27
Город Севастополь,3125.05
Ростовская область,4743.14
Краснодарский край,4829.73
Республика Адыгея,3133.73
Республика Калмыкия,3131.86
Республика Крым,3707.86
Кировская область,4451.09
Нижегородская область,4989.36
Оренбургская область,4650.14
Пензенская область,3858.09
Пермский край,5599.18
Республика Татарстан,5471.36
Республика Башкортостан,6868.18
Республика Марий Эл,3428.91
Республика Мордовия,3492.45
Самарская область,4885.55
Саратовская область,4497.77
Удмуртская Республика,4748.36
Ульяновская область,3806.73
Чувашская Республика,3782.45
Курганская область,4193.18
Свердловская область,6606.77
Тюменская область,4573.55
Ханты-Мансийский автономный округ - Югра,4070.86
Ямало-Ненецкий автономный округ,3451.14
Челябинская область,6428.27
Алтайский край,5904.77
Забайкальский край,4789.5
Иркутская область,5588.77
Кемеровская область,5374.05
Красноярский край,5807.68
Новосибирская область,4780.95
Омская область,4268.95
Республика Алтай,3368.18
Республика Бурятия,4528.14
Республика Тыва,3539.77
Республика Хакасия,3776.36
Томская область,3907.45
Амурская область,3963.45
Еврейская автономная область,3087.68
Камчатский край,3257.82
Магаданская область,3128.0
Приморский край,4555.86
Республика Саха (Якутия),4121.86
Сахалинская область,3493.36
Хабаровский край,4163.23
Чукотский автономный округ,3017.86
